date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried
2001-01-28,BE,Gsteig,46.3658103942871,7.27672481536865,2000.0,1,3,1
2001-01-31,UR,Andermatt,46.6024856567383,8.61265468597412,2940.0,0,1,0
2001-02-03,GR,Samedan,46.5136909484863,9.76378536224365,2860.0,0,1,1
2001-02-03,VS,Ayer,46.1121215820313,7.60898017883301,3000.0,2,8,3
2001-02-03,VS,Ayer,46.1129150390625,7.61868381500244,2500.0,1,5,1
2001-02-03,NW,Wolfenschiessen,46.8408889770508,8.34043788909912,1640.0,0,3,0
2001-02-03,TI,Bosco Gurin,46.3419380187988,8.46478366851807,2700.0,0,2,0
2001-02-03,OW,Kerns,46.8308715820313,8.30370044708252,1629.33,0,1,0
2001-02-03,GR,Silvaplana,46.4581832885742,9.78041553497314,2240.0,0,1,1
2001-02-04,BE,Beatenberg,46.7105102539063,7.78689289093018,1790.0,0,3,1
2001-02-04,VS,Zermatt,45.9990997314453,7.81101846694946,2720.0,0,1,0
2001-02-04,GR,Samnaun,46.9512023925781,10.3625068664551,2060.0,1,1,1
2001-02-04,SZ,Morschach,46.9616470336914,8.65328884124756,1830.0,0,1,0
2001-02-04,VS,Fully,46.1908912658691,7.09668064117432,2450.0,0,2,0
2001-02-04,OW,Giswil,46.7878952026367,8.04893112182617,2020.0,0,2,0
2001-02-04,VS,Zermatt,46.0185737609863,7.79759311676025,2973.33,0,1,1
2001-02-04,NW,Wolfenschiessen,46.7879409790039,8.40713405609131,2085.0,0,2,0
2001-02-04,SZ,Oberiberg,47.0029716491699,8.82498455047607,1980.0,1,1,1
2001-02-04,VS,Leukerbad,46.4233055114746,7.64586019515991,2800.0,1,2,2
2001-02-04,GR,Davos,46.8132743835449,9.89536285400391,2140.0,0,1,0
2001-02-05,GR,Disentis/Mustér,46.7121429443359,8.78834438323975,2500.0,0,2,0
2001-02-05,BE,Lauterbrunnen,46.6223602294922,7.86342287063599,2070.0,0,3,1
2001-02-06,VS,Trient,46.0344734191895,6.96372032165527,2180.0,3,5,4
2001-02-08,BE,Lenk,46.4103507995605,7.38336515426636,2010.0,0,2,0
2001-02-10,GR,Vrin,46.5921096801758,9.09596920013428,2880.0,0,9,0
2001-02-10,GR,Celerina/Schlarigna,46.5234794616699,9.79315090179443,2840.0,0,1,0
2001-02-10,VS,Visperterminen,46.2465438842773,7.93472290039063,2270.0,0,1,0
2001-02-11,TI,Bedretto,46.5066528320313,8.47083568572998,2540.0,3,3,3
2001-02-11,GR,Flims,46.9045372009277,9.2622184753418,2880.0,0,1,1
2001-02-13,VS,Saas-Fee,46.0876617431641,7.91828298568726,2350.0,0,2,0
2001-02-15,GR,Davos,46.6763305664063,9.7672643661499,2776.67,0,1,0
2001-02-20,TI,Prato-Sornico,46.3660621643066,8.71996021270752,2040.0,0,1,0
2001-02-22,GR,Fuldera,46.5999412536621,10.3454456329346,2300.0,2,7,3
2001-02-23,GR,Ardez,46.8499984741211,10.1670227050781,2850.0,0,10,2
2001-02-23,VS,Mühlebach,46.4046936035156,8.18806076049805,2220.0,1,2,0
2001-02-24,SZ,Oberiberg,47.0136871337891,8.76324367523193,1660.0,1,2,1
