t-SNE1,t-SNE2,k_cluster
0.8412306,0.24842575,0
-0.09750535,0.19316725,2
0.69940555,0.46463794,0
0.2643395,0.41185755,0
0.62177736,0.4222201,0
0.5047842,0.2969968,0
0.55501616,0.54296076,0
0.011865839,0.39437196,2
-0.17145716,0.07657709,2
-0.08679429,0.34211376,0
-0.21559969,0.2290936,3
-0.16930899,0.10699663,2
0.055018544,0.38644713,2
0.4405434,0.49099752,0
0.12687919,0.08892484,2
-0.41121766,0.7460046,2
0.36701635,0.067947656,2
-0.52596456,0.50635326,2
-0.95027184,0.16126895,3
-0.49626812,0.48704275,2
-0.26817152,0.51492363,2
-0.45212433,0.7269585,2
0.29065415,0.64832246,0
-0.40505818,0.09546888,2
0.29065415,0.64832246,0
-0.33769423,0.5037495,2
0.29071194,0.64850277,0
-0.3430257,0.7314249,2
0.82599187,-0.007012746,0
0.91661954,0.025271263,4
0.45360777,0.10657974,2
0.47773248,0.6540272,0
0.28731784,0.6502445,2
1.1059952,0.0179137,4
0.78025204,0.0059359223,4
0.9386503,-0.004705184,4
0.582547,0.54895574,0
0.13976707,0.55176723,2
-0.2995143,-0.4013067,1
0.16970962,-0.4900489,1
-0.24127986,0.5356361,2
0.16849196,-0.5061793,1
-0.21025766,0.27406067,2
-0.24638511,0.55848175,2
-0.2776832,-0.25459823,2
-0.59027475,-0.09366148,3
-0.49632514,-0.2401162,3
-0.3354938,-0.8202396,1
-0.43455362,-0.48614827,3
-0.21943009,-0.5534964,3
-0.3005527,-0.87617844,1
-0.5830688,-0.5722094,3
-0.70312744,-0.5287199,3
-1.003021,-0.6423184,3
-0.27749053,-0.49213225,3
-0.36607724,-0.14064518,3
-0.8345635,-0.57023597,3
0.087539695,-0.5066195,1
0.5021675,-0.6408901,1
0.39628786,0.29877967,0
0.8177119,0.24411504,0
-0.22017841,-0.40363556,3
-0.33401647,-0.44239646,3
-0.846304,0.14550546,3
-0.41006333,0.18798845,2
-0.7694526,-0.60491806,3
-0.94511336,-0.38041803,3
0.012673569,0.35805842,2
-0.2657539,0.34942737,2
-0.92456686,0.16398908,3
-0.72455746,-0.13847676,3
-0.44913453,-0.01161037,3
0.5078955,0.5057604,0
0.3023613,0.6744683,0
0.9008746,0.035244435,4
0.79194385,0.12789616,4
0.9574357,0.11220675,4
0.03624357,0.55723375,2
0.56194836,0.43695438,0
0.8401495,0.022500763,4
0.114131086,0.6027355,0
0.3111038,0.40417558,0
-0.2749586,-0.07043853,3
-0.24527594,-0.26881042,3
-0.30267727,0.29678503,2
-0.06854222,-0.024903744,0
0.23500949,-0.1379721,3
-0.80520666,-0.20894256,3
-0.9831473,-0.2173471,3
0.0048793876,0.40506953,0
-1.0621916,-0.34601706,3
-0.9845053,-0.2241142,3
-0.73357964,-0.19242303,3
-0.23016037,-0.054280125,3
-1.0775293,-0.14612262,3
-1.0775731,-0.14608186,3
-0.6204984,0.5064567,2
-0.77545047,0.28392845,2
-0.73800296,0.28515965,3
-0.5180508,0.41863447,2
-0.90308166,0.094162546,3
1.038749,-0.02914302,4
-0.56989837,0.134925,3
-0.11352901,-0.30734128,3
0.28820977,0.49794385,0
0.17845735,0.5240125,0
-0.7367103,-0.630578,3
-1.0371711,-0.6326285,3
-1.019431,-0.554535,3
-1.1320301,-0.63879174,3
-1.0600752,-0.4971893,3
-0.7821363,-0.46360332,3
-0.34050757,0.40911654,2
-0.40642437,0.15699302,2
-0.8582249,0.13849759,3
-0.83453095,0.1963716,3
-0.3171152,0.47184774,2
0.34756005,-0.1870444,3
0.66718465,-0.289377,4
0.85918385,-0.054490514,4
-0.85393894,0.09880629,3
-0.18083262,-0.015592214,3
-0.28665584,-0.13253671,3
-0.7171048,-0.015330292,3
-0.5707461,0.058548126,3
-0.519464,0.048224423,3
-0.51653516,-0.27402967,3
-0.33165202,-0.03754022,3
-0.45718208,0.117196165,3
-0.17015086,0.023976518,2
-1.044965,-0.059272874,3
-0.06342124,0.37025136,2
-0.37493148,-0.017305346,2
0.48921758,-0.2914385,1
0.3010031,0.5190417,0
-0.11403075,0.027505046,3
0.09321672,-0.045998383,0
0.90463495,-0.1445077,4
0.2554366,0.40698823,0
0.674154,-0.44570994,1
-0.12091554,0.18382318,2
0.6517717,-0.29169384,1
0.27495024,0.46752462,0
-0.49800405,-0.3263146,3
0.10850978,-0.6064856,1
-0.6059744,-0.21170303,3
0.71259046,-0.12694004,1
0.09893448,0.4260923,2
-0.007637923,0.32275584,0
0.67203426,0.20833145,0
-0.6882316,-0.47660396,3
0.027664319,-0.52078027,1
0.25699174,0.28397653,0
-0.8421216,-0.67732614,3
-1.0535091,-0.4733918,3
-1.0026654,-0.5639315,3
-1.0036893,-0.36479285,3
-0.9966234,-0.71620613,3
-1.1103641,-0.5845265,3
0.586589,-0.37187278,1
0.4223363,0.2054454,0
0.4453909,0.42361388,0
-1.1660932,-0.566572,3
-1.1812278,-0.58587116,3
-1.068795,-0.14692993,3
-0.9435313,0.030437155,3
0.9314244,0.14968269,4
-0.5123555,0.3074616,2
-0.8659599,-0.16233434,3
0.24154414,-0.57712233,1
