date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried,air_temp_mean_stations,wind_speed_mean_stations,snow_surf_temp_day_mean_stations,snow_ground_temp_day_mean_stations,wind_speed_day_max_stations
2019-02-06,BE,Saanen,46.4251174926758,7.23856258392334,2100.0,0,1,0,1.7266666471958154,2.4983332872390744,-14.30312490463255,0.33854167163371995,8.200000000000005
2019-02-06,VS,Bagnes,46.032829284668,7.19711875915527,2400.0,0,2,1,-3.106249968210857,2.9145832856496163,-17.67604160308835,-0.008333325386047474,6.0333333015441895
2019-02-06,GR,Trimmis,46.9093437194824,9.60599994659424,1900.0,0,1,0,,,,,
2019-02-06,VS,Orsières,46.0374183654785,7.18508577346802,2196.67,0,2,0,-3.106249968210857,2.9145832856496163,-17.67604160308835,-0.008333325386047474,6.0333333015441895
2019-02-06,GR,Safiental,46.6882057189941,9.27766036987305,2450.0,0,1,0,-0.0791666656732559,0.875,-16.1395835876465,0.899999976158142,4.19999980926514
2019-02-08,GR,Luzein,46.9780426025391,9.86451148986816,2460.0,0,1,0,-6.33958339691162,1.88958328962326,-11.9979162216187,0.800000011920929,9.300000190734881
2019-02-08,VS,Bettmeralp,46.4142189025879,8.08004188537598,2400.0,0,1,0,-7.128124952316284,1.411458313465115,-13.9156250953674,0.16041665524244297,9.04999971389772
2019-02-08,GL,Glarus Süd,46.865406036377,9.123122215271,2010.0,0,2,0,-5.499305645624793,2.87916672229767,-12.1020832061768,0.350000001490116,9.333333015441903
2019-02-08,GR,Davos,46.6888999938965,9.87007904052734,2745.0,0,1,0,-9.072916746139537,3.093402723471325,-14.895138740539531,-13.64097247800481,9.68333315849305
2019-02-09,AI,Gonten,47.2915802001953,9.32794189453125,2098.0,0,1,0,,,,,
2019-02-09,GR,Klosters-Serneus,46.7857666015625,9.95791625976563,2740.0,0,2,0,-4.067708343267441,2.395312517881391,-11.499305407206235,-13.08819503337145,10.025000095367416
2019-02-09,BE,Oberried am Brienzersee,46.7645683288574,7.96455717086792,2030.0,0,1,0,-0.8020833730697651,8.069791555404676,-2.18333339691162,0.300000011920929,20.0
2019-02-09,BE,Saanen,46.4479637145996,7.33777713775635,1800.0,0,1,1,-1.5901041030883787,5.205208212137217,-4.9822916984558105,0.052083332091570005,18.325000047683726
2019-02-09,GR,Davos,46.7248916625977,9.86614036560059,2503.33,0,1,0,-3.515416598320008,2.7554166793823223,-11.8380208015442,-9.79114627838135,10.479999923706057
2019-02-12,GR,Trimmis,46.907039642334,9.61128997802734,1850.0,0,1,0,,,,,
2019-02-12,BE,Grindelwald,46.6198387145996,7.94193363189697,2230.0,0,1,1,-6.7421875,1.6057970970869082,-14.841666857401535,0.5333333412806199,5.65000009536743
2019-02-12,SG,Wildhaus-Alt St. Johann,47.1554069519043,9.31693458557129,2150.0,0,1,0,-10.5041666030884,4.31304359436035,,,11.0
2019-02-12,SG,Wildhaus-Alt St. Johann,47.1525917053223,9.31868171691895,2150.0,0,1,0,-10.5041666030884,4.31304359436035,,,11.0
2019-02-14,BE,Diemtigen,46.5280723571777,7.53899478912354,2300.0,0,1,0,3.173749995231628,1.7020833313465122,-10.456944465637193,0.43888888228684647,5.000000047683716
2019-02-14,SG,Wildhaus-Alt St. Johann,47.2162170410156,9.26004505157471,1765.0,0,2,0,3.527083337306975,1.5062500238418575,-4.35624980926514,-0.200000002980232,5.950000047683715
2019-02-15,GR,Medel (Lucmagn),46.6433296203613,8.87913990020752,2345.0,0,1,0,3.2552083432674404,2.5038194060325623,-10.05989587306977,-0.010416671633720245,7.466666698455817
2019-02-15,GR,Samedan,46.3786354064941,9.84433937072754,2700.0,1,1,1,2.19166660308838,2.13124990463257,-10.7479162216187,0.0,9.19999980926514
2019-02-15,UR,Spiringen,46.8831405639648,8.92844486236572,2030.0,0,1,0,7.65208339691162,0.943750023841858,-5.73333311080933,0.699999988079071,3.09999990463257
2019-02-15,GR,Davos,46.7354774475098,9.87486457824707,2710.0,0,1,0,-0.4121527547637629,2.4024305840333287,-13.6161458492279,-10.026562690734876,6.90000001589457
2019-02-16,BE,Reichenbach im Kandertal / Frutigen,46.5738906860352,7.69209241867065,2116.67,0,1,0,3.63854169845581,2.9750000238418552,-10.6395835876465,0.899999976158142,6.899999856948855
2019-02-17,FR,Plaffeien,46.6735992431641,7.37375164031982,1950.0,1,1,1,5.195833444595335,1.76979172229767,-6.20625019073486,0.0,7.199999928474409
2019-02-19,VS,Crans-Montana,46.3577690124512,7.49515533447266,2745.0,1,5,1,-5.501041650772095,2.190624952316285,-14.5958337783813,-0.300000011920929,7.099999904632565
2019-02-21,UR,Realp,46.5891151428223,8.4894380569458,1790.0,0,2,0,-3.753124952316285,5.53645837306976,-8.69166660308838,0.300000011920929,11.15000009536743
2019-02-23,BE,Grindelwald,46.6679077148438,8.0112476348877,2290.0,0,1,0,3.7951388359069838,1.8861111005147269,-5.184375047683715,0.9854166805744194,9.900000095367433
2019-03-03,UR,Wassen,46.7519683837891,8.52572631835938,2300.0,0,1,0,1.458333373069765,2.15520828962326,-6.639583349227905,0.293749988079071,11.29999971389768
2019-03-06,OW,Engelberg,46.7766990661621,8.45832824707031,2200.0,0,3,0,1.2583333253860451,5.606250047683715,-6.930208444595335,0.262499988079071,32.1999988555908
2019-03-08,UR,Andermatt,46.6225242614746,8.62347030639648,1970.0,0,1,0,-5.457142932074411,2.0172392470496034,-8.649479031562802,-0.34947916306555277,7.414285727909631
2019-03-12,UR,Andermatt,46.608024597168,8.62491512298584,2666.67,0,1,0,-8.104761872972768,3.0192752139908916,-11.883333206176735,-0.34270832128822826,15.685714176722929
2019-03-12,TI,Bedretto,46.4515991210938,8.3929271697998,2700.0,0,1,0,-7.10416650772095,1.99782609939575,-10.3895835876465,0.100000001490116,15.3999996185303
2019-03-12,GR,Bever,46.5341148376465,9.73753929138184,2670.0,0,1,0,-9.597023759569444,2.6497023616518307,-13.350694656372065,0.017361110697189968,14.957142829895018
2019-03-12,VS,Anniviers,46.2430953979492,7.63648748397827,2680.0,0,1,1,-6.18333339691162,1.31875002384186,-13.5874996185303,-0.295833319425583,19.0
2019-03-12,VS,Nendaz,46.0811538696289,7.32203722000122,3050.0,0,1,0,-6.042361179987587,3.300591071446737,-12.1302080154419,0.5,15.400000254313165
2019-03-13,VS,Oberems,46.2403907775879,7.7057089805603,2000.0,1,1,1,,,,,
2019-03-15,GR,Zuoz,46.6093063354492,9.87367916107178,2800.0,0,6,3,-5.107986132303875,6.91944446166356,-5.799999952316284,-0.014583334326743996,25.833333333333314
2019-03-17,GR,Samedan,46.5334968566895,9.81562519073486,2850.0,0,4,0,-0.6479166708886636,3.3763731420040153,-6.61041688919067,0.0770833343267441,15.27500009536745
2019-03-17,VS,Martigny-Combe,46.026683807373,7.04372692108154,2700.0,0,1,0,-5.7062498331069955,5.312499821186065,-9.55000019073486,,20.69999980926515
2019-03-21,VS,Val-d'Illiez,46.1749076843262,6.91575050354004,2050.0,0,1,0,0.8437499850988373,2.389062464237211,-9.50520849227905,-1.590625047683715,6.574999988079062
