code;station_name;lon;lat;elevation;country_code;type;canton_code;alpine_region
ZNZ1;Sarsura Pitschen;9.9976224899292;46.7042503356934;3133;CH;WIND;GR;Eastern Alps
SPN3;Wenghorn;8.04517459869385;46.1780128479004;2424;CH;SNOW_FLAT;VS;Southern Alps
TRU1;Schwarzhorn;7.57057905197144;46.3834457397461;3088;CH;WIND;VS;Southern Alps
YBR2;Wanne;8.82541656494141;47.035457611084;1701;CH;SNOW_FLAT;SZ;Central Alps
OFE2;Murtaröl;10.2890510559082;46.631706237793;2359;CH;SNOW_FLAT;GR;Eastern Alps
TUJ2;Culmatsch;8.72375106811523;46.6838798522949;2262;CH;SNOW_FLAT;GR;Eastern Alps
URS2;Giltnasen;8.51385879516602;46.5867881774902;2169;CH;SNOW_FLAT;UR;Central Alps
PAR2;Kreuzweg;9.80484485626221;46.8517227172852;2290;CH;SNOW_FLAT;GR;Eastern Alps
BOG1;Martschenspitz;8.46004581451416;46.3282661437988;2688;CH;WIND;TI;Southern Alps
FUS2;Alpe di Röd;8.62044620513916;46.4364204406738;2390;CH;SNOW_FLAT;TI;Southern Alps
SWM1;Schwarzmönch;7.92754173278809;46.5513687133789;2673;CH;WIND;BE;Western Alps
SAA2;Seetal;7.87935256958008;46.1718368530273;2480;CH;SNOW_FLAT;VS;Southern Alps
BOG3;Pizzo Bombögn;8.49098110198975;46.3062210083008;2179;CH;SNOW_SLOPE;TI;Southern Alps
AMD1;Mattstock;9.13559246063232;47.1696891784668;1932;CH;WIND;SG;Eastern Alps
SIM2;Piano del Simano;8.9808235168457;46.467456817627;2450;CH;SNOW_FLAT;TI;Southern Alps
WFJ2;Weissfluhjoch;9.80928897857666;46.8296394348145;2536;CH;SNOW_FLAT;GR;Eastern Alps
GUT2;Homad;8.28969097137451;46.6793098449707;2115;CH;SNOW_FLAT;BE;Western Alps
SCA2;Seewli;8.71734237670898;46.8129539489746;2032;CH;SNOW_FLAT;UR;Central Alps
ELS1;Elsighorn;7.63963985443115;46.5346870422363;2340;CH;WIND;BE;Western Alps
HTR3;Unter Surettasee;9.34852695465088;46.536548614502;2200;CH;SNOW_FLAT;GR;Eastern Alps
PUZ2;Ils Plauns;8.86245441436768;46.626350402832;2196;CH;SNOW_FLAT;GR;Eastern Alps
FUL1;Grand Chavalard;7.11303472518921;46.1786804199219;2899;CH;WIND;VS;Southern Alps
ANV3;Tracuit;7.65640115737915;46.1211624145508;2589;CH;SNOW_FLAT;VS;Southern Alps
ARO2;Les Fontanesses;7.44585466384888;46.0287818908691;2847;CH;SNOW_FLAT;VS;Southern Alps
VLS1;Piz Aul;9.12506675720215;46.6227989196777;3121;CH;WIND;GR;Eastern Alps
SCH1;Schilthorn;7.83520174026489;46.5573120117188;2996;CH;WIND;BE;Western Alps
SAA4;Gibidum;7.90553045272827;46.1244659423828;2680;CH;SNOW_FLAT;VS;Southern Alps
CAM1;Tremorgio;8.7003812789917;46.4826965332031;2668;CH;WIND;TI;Southern Alps
MLB2;Bärgtälli;9.6117696762085;47.0884666442871;1974;LI;SNOW_FLAT;FL;Eastern Alps
STH1;Stockhorn;7.53857088088989;46.6938629150391;2190;CH;WIND;BE;Western Alps
DIA2;Tsanfleuron;7.24103784561157;46.3154029846191;2569;CH;SNOW_FLAT;VD;Western Alps
TUM1;Piz Tumpiv;8.99226856231689;46.7849769592285;3041;CH;WIND;GR;Eastern Alps
ANV2;Orzival;7.53537178039551;46.1882781982422;2640;CH;SNOW_FLAT;VS;Southern Alps
ENG2;Fitteren;9.1894474029541;46.9927825927734;2162;CH;SNOW_FLAT;GL;Eastern Alps
JAU2;Fochsen;7.27454137802124;46.6330490112305;1707;CH;SNOW_FLAT;FR;Western Alps
VDS1;Crêta Besse;7.35227489471436;46.3051910400391;2696;CH;WIND;VS;Southern Alps
STH2;Vorderstocken;7.51964902877808;46.6820487976074;1791;CH;SNOW_FLAT;BE;Western Alps
CSL2;Col du Chasseral;7.03133678436279;47.1163139343262;1455;CH;SNOW_FLAT;BE;Western Alps
ALI2;Chenau;6.9932975769043;46.4886322021484;1708;CH;SNOW_FLAT;FR;Western Alps
CAM3;Solco;8.70888328552246;46.4875755310059;2257;CH;SNOW_SLOPE;TI;Southern Alps
PUZ1;La Muota;8.85681056976318;46.6232719421387;2425;CH;WIND;GR;Eastern Alps
KLT3;Ruoggis, Unter Stafel;8.96920967102051;47.0306205749512;1258;CH;SNOW_FLAT;GL;Eastern Alps
BER3;Puoz Bass;9.91588973999023;46.4409141540527;2625;CH;SNOW_FLAT;GR;Eastern Alps
LHO2;Russisprung;7.94374227523804;46.5827903747559;2150;CH;SNOW_FLAT;BE;Western Alps
VRG3;Porcaresc;8.47495460510254;46.2403984069824;2038;CH;SNOW_FLAT;TI;Southern Alps
MUN2;Chiematte;7.92520332336426;46.3330688476563;2205;CH;SNOW_FLAT;VS;Southern Alps
LAG2;Tscheppa;9.74457931518555;46.451358795166;2730;CH;SNOW_FLAT;GR;Eastern Alps
ALI1;Vanil des Artses;6.98728179931641;46.4822463989258;1989;CH;WIND;FR;Western Alps
BOV1;Pointe de Boveire;7.23988103866577;45.9945220947266;3211;CH;WIND;VS;Southern Alps
BEV2;Valetta;9.83709049224854;46.5395622253418;2512;CH;SNOW_FLAT;GR;Eastern Alps
LUM3;Lumpegna Nord;8.86256980895996;46.7322807312012;2355;CH;SNOW_SLOPE;GR;Eastern Alps
ARO3;Bréona;7.56205940246582;46.0874214172363;2602;CH;SNOW_FLAT;VS;Southern Alps
ELM1;Mittler Blistock;9.12056922912598;46.9314727783203;2447;CH;WIND;GL;Eastern Alps
DAV4;Frauentobel;9.78470230102539;46.7841949462891;2330;CH;FLOWCAPT;GR;Eastern Alps
MES2;Pian Grand;9.16029644012451;46.4140090942383;2384;CH;SNOW_FLAT;GR;Eastern Alps
GRA1;Jumelles;6.81362867355347;46.3522491455078;2210;CH;WIND;VS;Southern Alps
GOS3;Gütsch;8.60696697235107;46.6564178466797;2209;CH;SNOW_FLAT;UR;Central Alps
GAD2;Gschletteregg;8.39748764038086;46.7441902160645;2063;CH;SNOW_FLAT;BE;Western Alps
DAV1;Chrachenhorn;9.81431007385254;46.6885108947754;2890;CH;WIND;GR;Eastern Alps
DTR1;Costa;8.8660945892334;46.5480690002441;2388;CH;WIND;TI;Southern Alps
SPN1;Chesselhorn;8.08137893676758;46.2182769775391;2980;CH;WIND;VS;Southern Alps
LUK2;Lai Verd;8.78352165222168;46.6041526794434;2555;CH;SNOW_FLAT;GR;Eastern Alps
SCA3;Alpler Tor;8.77953910827637;46.8915367126465;2338;CH;SNOW_FLAT;UR;Central Alps
MEI2;Laucheren;8.5510139465332;46.743766784668;2220;CH;SNOW_FLAT;UR;Central Alps
BOG2;Hendar Furggu;8.47161769866943;46.3338012695313;2299;CH;SNOW_FLAT;TI;Southern Alps
MUO2;Rupperslaui;8.74562072753906;46.9382171630859;2083;CH;SNOW_FLAT;SZ;Central Alps
RNZ3;Rienzenstock;8.62596797943115;46.6847877502441;2390;CH;SNOW_FLAT;UR;Central Alps
FOU2;Glacier de l'Evole;7.06723403930664;45.9717559814453;2800;CH;SNOW_FLAT;VS;Southern Alps
FIS2;Fisi;7.67388296127319;46.4714660644531;2155;CH;SNOW_FLAT;BE;Western Alps
SIM1;Cima del Simano;8.97194576263428;46.4625091552734;2579;CH;WIND;TI;Southern Alps
FIR2;Schmidigen-Bidmeren;8.06440353393555;46.6687774658203;2111;CH;SNOW_FLAT;BE;Western Alps
ENG1;Gulderstock;9.20158290863037;46.9931259155273;2510;CH;WIND;GL;Eastern Alps
ALB2;Teststation Albula;9.83622360229492;46.5809440612793;2322;CH;SNOW_FLAT;GR;Eastern Alps
LAV1;Gonda Cotschna;10.1123285293579;46.7843246459961;2405;CH;FLOWCAPT;GR;Eastern Alps
BED4;Sabbioni;8.49641799926758;46.5256309509277;2305;CH;SNOW_FLAT;TI;Southern Alps
LUK1;Piz Gannaretsch;8.78654766082764;46.6119079589844;3040;CH;WIND;GR;Eastern Alps
OTT2;Ottere;7.56163644790649;46.5397033691406;2017;CH;SNOW_FLAT;BE;Western Alps
NAR2;Bassa di Nara;8.8686351776123;46.4729919433594;2077;CH;SNOW_FLAT;TI;Southern Alps
ANV1;Corne de Sorebois;7.58666467666626;46.150764465332;2895;CH;WIND;VS;Southern Alps
MUT1;Ruchi;9.04507923126221;46.8635749816895;3103;CH;WIND;GL;Eastern Alps
BIN4;Schapleralpa;8.20899105072021;46.3482284545898;2354;CH;SNOW_FLAT;VS;Southern Alps
ELA2;Tschitta;9.71469402313232;46.591423034668;2726;CH;SNOW_FLAT;GR;Eastern Alps
URS1;Gross Schijen;8.63831043243408;46.6681327819824;2784;CH;WIND;UR;Central Alps
SAA5;Mälliga;7.98138570785522;46.1274833679199;2952;CH;SNOW_FLAT;VS;Southern Alps
TUJ1;Crispalt;8.69449043273926;46.6837272644043;3028;CH;WIND;GR;Eastern Alps
MES1;Piz Pian Grand;9.15569686889648;46.41748046875;2688;CH;WIND;GR;Eastern Alps
SCA1;Gross Windgällen;8.73213195800781;46.8072547912598;3187;CH;WIND;UR;Central Alps
SLF2;Davos Stilli (SLF);9.84826469421387;46.8127670288086;1563;CH;SNOW_FLAT;GR;Eastern Alps
CHA1;La Para;7.15245246887207;46.3828964233398;2540;CH;WIND;VD;Western Alps
MTR2;Predanass;8.9175910949707;46.4087257385254;1884;CH;SNOW_FLAT;TI;Southern Alps
FNH1;Le Luisin;6.96997117996216;46.120719909668;2785;CH;WIND;VS;Southern Alps
EGH2;Flesch;8.09171485900879;46.4168090820313;2500;CH;SNOW_FLAT;VS;Southern Alps
ORT2;Ortstock Matt;8.95854949951172;46.918083190918;1824;CH;SNOW_FLAT;GL;Eastern Alps
TRU2;Trubelboden;7.58557176589966;46.3709526062012;2459;CH;SNOW_FLAT;VS;Southern Alps
ATT2;Lac des Vaux;7.2699179649353;46.1052856445313;2550;CH;SNOW_FLAT;VS;Southern Alps
ZNZ2;Pülschezza;10.0188446044922;46.6977157592773;2677;CH;SNOW_FLAT;GR;Eastern Alps
OBM2;Obere Meiel;7.21438550949097;46.4217720031738;2097;CH;SNOW_FLAT;BE;Western Alps
MLB1;Spitz;9.62399291992188;47.0867614746094;2186;LI;WIND;FL;Eastern Alps
ZER4;Stafelalp;7.70239067077637;45.997989654541;2408;CH;SNOW_FLAT;VS;Southern Alps
HTR2;Alp Piänetsch;9.20433521270752;46.5443801879883;2147;CH;SNOW_FLAT;GR;Eastern Alps
PMA2;Colms da Parsonz;9.53738689422607;46.5800743103027;2429;CH;SNOW_FLAT;GR;Eastern Alps
DAV6;Luksch Alp;9.89126300811768;46.7825927734375;2290;CH;SNOW_FLAT;GR;Eastern Alps
