t-SNE1,t-SNE2,k_cluster,municipality,canton,date,alpine_region,elevation_group
-5.8162675,0.06650528,4,Langwies,GR,2001-01-09,Eastern Alps,3000
-4.817135,-0.32605633,2,Klosters-Serneus,GR,2001-01-10,Eastern Alps,3000
-5.544563,1.7173467,1,Celerina/Schlarigna,GR,2001-01-13,Eastern Alps,3000
-5.6997995,1.4354478,1,Simplon,VS,2001-01-13,Southern Alps,3000
-4.064466,-1.5061913,2,Chandolin,VS,2001-01-13,Southern Alps,3000
-4.8543515,0.47730422,0,Adelboden,BE,2001-01-14,Western Alps,3000
-4.794117,-0.45292148,0,Davos,GR,2001-01-14,Eastern Alps,3000
-3.9944694,-1.2929034,3,Klosters-Serneus,GR,2001-01-14,Eastern Alps,3000
-6.098639,1.75206,1,Pontresina,GR,2001-01-14,Eastern Alps,3000
-6.0919585,-2.0553913,2,Blitzingen,VS,2001-01-16,Southern Alps,3000
-4.3671775,-2.7625372,2,Reichenbach im Kandertal,BE,2001-01-21,Western Alps,3000
-5.644726,-0.03277613,0,Albinen,VS,2001-01-27,Southern Alps,3000
-4.8488827,-0.05268156,2,Gsteig,BE,2001-01-28,Western Alps,2000
-6.290668,-1.0650221,2,Andermatt,UR,2001-01-31,Central Alps,3000
-5.437231,1.8882846,1,Samedan,GR,2001-02-03,Eastern Alps,3000
-4.2470784,-1.0752395,0,Ayer,VS,2001-02-03,Southern Alps,3000
-4.2470784,-1.0752395,0,Ayer,VS,2001-02-03,Southern Alps,3000
-4.9770913,0.7169434,0,Bosco Gurin,TI,2001-02-03,Southern Alps,3000
-5.8443065,2.0832627,1,Silvaplana,GR,2001-02-03,Eastern Alps,3000
-5.983723,1.2395079,4,Zermatt,VS,2001-02-04,Southern Alps,3000
-4.7480907,0.28060222,0,Samnaun,GR,2001-02-04,Eastern Alps,3000
-5.2618375,1.7014366,4,Fully,VS,2001-02-04,Southern Alps,3000
-3.2130046,0.052568287,0,Giswil,OW,2001-02-04,Central Alps,3000
-5.976636,1.2397147,4,Zermatt,VS,2001-02-04,Southern Alps,3000
-4.5781198,0.6323804,4,Wolfenschiessen,NW,2001-02-04,Central Alps,3000
-5.320211,1.0042387,4,Leukerbad,VS,2001-02-04,Southern Alps,3000
-3.2279608,0.6158485,3,Davos,GR,2001-02-04,Eastern Alps,3000
-5.187929,0.56820524,4,Disentis/Mustér,GR,2001-02-05,Eastern Alps,3000
-6.189046,1.2542888,4,Lauterbrunnen,BE,2001-02-05,Western Alps,3000
-5.335973,1.5627985,4,Trient,VS,2001-02-06,Southern Alps,3000
-3.4893596,0.70067596,0,Lenk,BE,2001-02-08,Western Alps,3000
-5.9350376,2.2345014,1,Celerina/Schlarigna,GR,2001-02-10,Eastern Alps,3000
-4.59617,-3.7471526,2,Visperterminen,VS,2001-02-10,Southern Alps,3000
-2.7361794,2.778513,3,Bedretto,TI,2001-02-11,Southern Alps,3000
-3.2493103,-1.2900013,0,Saas-Fee,VS,2001-02-13,Southern Alps,3000
-2.1610382,2.201421,3,Davos,GR,2001-02-15,Eastern Alps,3000
-4.9787617,-0.42700183,0,Mühlebach,VS,2001-02-23,Southern Alps,3000
-6.225637,1.1462132,4,Molinis,GR,2001-02-25,Eastern Alps,3000
-6.1509914,0.3860647,2,Simplon,VS,2001-02-25,Southern Alps,3000
-6.1807704,-0.08448123,2,Klosters-Serneus,GR,2001-02-25,Eastern Alps,3000
-6.339337,-0.99428296,2,Kandersteg,BE,2001-02-28,Western Alps,3000
-3.4901636,0.46637636,0,Val d’Illiez,VS,2001-03-04,Southern Alps,3000
-5.177449,2.7561617,1,Celerina/Schlarigna,GR,2001-03-05,Eastern Alps,3000
-4.5039334,1.423742,0,Simplon,VS,2001-03-13,Southern Alps,3000
-5.314409,0.8796279,4,Langwies,GR,2001-03-14,Eastern Alps,3000
-5.7012696,3.9795384,1,Poschiavo,GR,2001-03-20,Eastern Alps,3000
-5.23279,3.7041938,1,Poschiavo,GR,2001-03-20,Eastern Alps,3000
-5.0817084,4.275545,1,Prato,TI,2001-03-21,Southern Alps,3000
-2.6132216,2.3926566,3,Andermatt,UR,2001-03-24,Central Alps,2000
-3.4043455,-0.07860221,0,Medel (Lucmagn),GR,2001-03-29,Eastern Alps,3000
-5.610534,1.7279395,1,Bedretto,TI,2001-04-22,Southern Alps,3000
-5.7339664,2.2922854,1,Celerina/Schlarigna,GR,2001-04-22,Eastern Alps,3000
-5.10302,3.7039065,1,Hérémence,VS,2001-04-27,Southern Alps,3000
-3.4329376,4.238068,1,Pontresina,GR,2001-05-19,Eastern Alps,4000
-5.9827995,-2.69564,2,Adelboden,BE,2001-12-15,Western Alps,3000
-6.1334677,-2.3159485,2,Davos,GR,2001-12-24,Eastern Alps,3000
-5.0708413,-1.6948699,0,Binn,VS,2001-12-27,Southern Alps,3000
-5.429856,-0.9416734,0,Langwies,GR,2001-12-27,Eastern Alps,3000
-4.2642775,-2.3411198,2,Klosters-Serneus,GR,2001-12-28,Eastern Alps,3000
-2.9227517,-0.48862708,0,Val d'Illiez,VS,2001-12-29,Southern Alps,2000
-5.707535,0.30902585,4,Hasliberg,BE,2001-12-30,Western Alps,2000
-5.9780464,0.86155367,4,Engelberg,OW,2001-12-30,Central Alps,3000
-5.258073,-1.1782875,2,Langwies,GR,2001-12-30,Eastern Alps,3000
-5.709771,0.3098813,4,Hasliberg,BE,2001-12-30,Western Alps,2000
-6.136721,-1.3968475,2,Klosters-Serneus,GR,2001-12-31,Eastern Alps,3000
-5.9506865,-0.22662084,4,Bex,VD,2001-12-31,Western Alps,3000
-6.211517,-2.137371,2,Zuoz,GR,2002-01-01,Eastern Alps,3000
-6.40205,-2.3940248,2,Davos,GR,2002-01-01,Eastern Alps,3000
-5.340867,-2.7562175,2,Davos,GR,2002-01-02,Eastern Alps,3000
-4.128964,-2.2294118,2,Göschenen,UR,2002-01-02,Central Alps,3000
-5.6538925,-2.707119,2,Davos,GR,2002-01-02,Eastern Alps,3000
-1.6970526,-1.7562696,3,Diemtigen,BE,2002-01-02,Western Alps,3000
-4.227455,-1.2361917,2,Klosters-Serneus,GR,2002-01-03,Eastern Alps,3000
-4.650122,-2.5380363,2,Klosters-Serneus,GR,2002-01-03,Eastern Alps,3000
-3.930208,-4.50614,2,Vals,GR,2002-01-04,Eastern Alps,3000
-5.3729596,-3.3959134,2,Davos,GR,2002-01-04,Eastern Alps,3000
-4.5622363,-2.5178175,2,Arosa,GR,2002-01-12,Eastern Alps,3000
-4.1161623,-2.5204432,2,Davos,GR,2002-01-13,Eastern Alps,3000
-1.7807969,-0.6270474,3,Gsteig,BE,2002-01-13,Western Alps,3000
-3.2952678,2.0412834,3,Reichenbach im Kandertal,BE,2002-01-13,Western Alps,3000
-3.7784936,-1.2950958,0,Tavetsch/Tujetsch,GR,2002-01-20,Eastern Alps,3000
-4.4063706,-3.292756,2,Tavetsch/Tujetsch,GR,2002-01-23,Eastern Alps,3000
-2.8821433,0.17510799,0,Kandersteg,BE,2002-01-27,Western Alps,3000
0.028789414,-1.5221905,3,Gurtnellen,UR,2002-01-30,Central Alps,3000
-0.7393584,-0.20854798,3,St. Antönien,GR,2002-02-05,Eastern Alps,3000
-2.703593,-1.4378254,3,Andermatt,UR,2002-02-08,Central Alps,3000
-2.1590066,1.3102252,3,Lauterbrunnen,BE,2002-02-13,Western Alps,3000
-5.874889,-0.029454816,4,Château-d’Œx,VD,2002-02-21,Western Alps,2000
-6.0875187,1.107823,4,Wolfenschiessen,NW,2002-02-22,Central Alps,3000
-4.709378,0.8451017,0,Salvan,VS,2002-02-23,Southern Alps,3000
-5.589019,-0.012185008,4,Evolène,VS,2002-02-25,Southern Alps,3000
-3.7733161,-2.0375388,0,Samedan,GR,2002-03-01,Eastern Alps,3000
-3.5622911,3.7541194,1,Gsteig,BE,2002-03-05,Western Alps,2000
-3.4999738,2.9657369,1,Château-d’Œx,VD,2002-03-06,Western Alps,3000
-0.32415166,-1.6425146,3,Silvaplana,GR,2002-03-09,Eastern Alps,3000
-5.022835,1.2428619,4,Oberwald,VS,2002-03-20,Southern Alps,3000
-3.8021421,4.674796,1,Spiringen,UR,2002-03-29,Central Alps,3000
-1.9058394,-2.0656714,3,Fieschertal,VS,2002-04-09,Southern Alps,4000
-3.3903809,2.1625373,3,Kandersteg,BE,2002-04-21,Western Alps,4000
-4.6746984,2.5012083,1,Wassen,UR,2002-04-21,Central Alps,3000
-1.5687962,-2.7167566,3,Pontresina,GR,2002-04-21,Eastern Alps,4000
-3.3394125,0.8136041,3,Ulrichen,VS,2002-04-28,Southern Alps,4000
-4.745773,1.0097805,1,Davos,GR,2002-04-28,Eastern Alps,4000
-4.269618,1.0659301,1,S-chanf,GR,2002-04-28,Eastern Alps,4000
5.513364,-1.7763296,3,Lauterbrunnen,BE,2002-08-13,Western Alps,3000
0.38982445,-1.1583341,3,Fieschertal,VS,2002-11-03,Southern Alps,4000
-5.2203794,1.2479056,1,Andermatt,UR,2002-12-18,Central Alps,3000
-3.856387,2.0664024,1,Randogne,VS,2002-12-20,Southern Alps,3000
-4.5326657,2.7191424,1,Simplon,VS,2002-12-20,Southern Alps,3000
-2.7843206,1.8938272,3,Laax,GR,2002-12-23,Eastern Alps,3000
-2.777426,2.5852275,3,Bosco Gurin,TI,2002-12-23,Southern Alps,3000
-0.90295243,2.088213,3,Engelberg,OW,2002-12-26,Central Alps,3000
-0.7377047,-0.8332204,3,Davos,GR,2002-12-26,Eastern Alps,3000
-3.4027362,0.49146786,0,Evolène,VS,2002-12-27,Southern Alps,4000
-3.649558,0.95288676,0,Samedan,GR,2002-12-27,Eastern Alps,3000
-2.1727502,-0.12842058,3,Klosters-Serneus,GR,2002-12-28,Eastern Alps,3000
-3.8579917,0.8864709,0,Saas-Grund,VS,2002-12-28,Southern Alps,4000
-4.438689,0.91042477,0,Davos,GR,2002-12-28,Eastern Alps,3000
-3.5404623,-0.11074637,3,Davos,GR,2002-12-29,Eastern Alps,3000
-4.918497,1.3261355,0,St. Moritz,GR,2002-12-29,Eastern Alps,3000
-5.236776,2.2453618,1,Bedretto,TI,2002-12-29,Southern Alps,3000
-4.3326344,0.32942006,0,Tschierv,GR,2002-12-29,Eastern Alps,3000
-4.8875036,-0.45850384,0,Davos,GR,2002-12-29,Eastern Alps,3000
-4.6369815,1.3444967,0,Zuoz,GR,2002-12-29,Eastern Alps,3000
-3.714392,1.0826274,0,Saas-Grund,VS,2002-12-30,Southern Alps,3000
-3.7776759,0.9831371,0,Disentis/Mustér,GR,2002-12-30,Eastern Alps,3000
-3.891201,2.1576211,1,Bever,GR,2002-12-30,Eastern Alps,4000
-2.1749647,0.1632562,3,Davos,GR,2002-12-30,Eastern Alps,3000
-3.736177,2.1757965,1,St. Moritz,GR,2002-12-30,Eastern Alps,3000
-2.504454,-2.2477617,3,Fieschertal,VS,2002-12-31,Southern Alps,4000
-4.1859975,1.5181959,0,Poschiavo,GR,2003-01-02,Eastern Alps,3000
-5.2447915,2.481458,1,Dalpe,TI,2003-01-03,Southern Alps,3000
-5.9627266,-0.19676499,2,Davos,GR,2003-01-06,Eastern Alps,3000
-6.134398,-1.8830075,2,Bourg-Saint-Pierre,VS,2003-01-06,Southern Alps,3000
-6.563673,-1.2840627,2,Langwies,GR,2003-01-08,Eastern Alps,3000
-6.4592333,-1.9527007,2,Davos,GR,2003-01-10,Eastern Alps,3000
-5.940724,-0.7476544,2,Schwanden,GL,2003-01-12,Eastern Alps,3000
-4.177679,2.5958924,1,Trient,VS,2003-01-14,Southern Alps,3000
-2.4457371,2.8638344,3,Celerina/Schlarigna,GR,2003-01-15,Eastern Alps,3000
-5.7939286,2.144129,1,Tavetsch/Tujetsch,GR,2003-01-17,Eastern Alps,3000
-5.777524,1.8317032,1,Oberwald,VS,2003-01-18,Southern Alps,4000
-5.746451,-1.2247334,2,Davos,GR,2003-01-18,Eastern Alps,3000
-4.1559815,2.5189388,1,Realp,UR,2003-01-19,Central Alps,3000
-5.8544917,1.5268626,1,Ayent,VS,2003-01-23,Southern Alps,3000
-5.418531,0.82007056,1,Pontresina,GR,2003-01-25,Eastern Alps,3000
-5.752499,1.3200155,1,Zuoz,GR,2003-01-25,Eastern Alps,3000
-6.4992027,1.4736735,4,Wolfenschiessen,NW,2003-01-25,Central Alps,3000
-5.696162,0.836655,4,Oberried am Brienzersee,BE,2003-01-25,Western Alps,2000
-6.4936047,-1.7539896,2,Grindelwald,BE,2003-02-01,Western Alps,3000
-5.2803593,0.21021155,0,Zermatt,VS,2003-02-04,Southern Alps,3000
-5.7807207,0.0893949,2,Davos,GR,2003-02-04,Eastern Alps,3000
-5.2822156,0.21008395,0,Zermatt,VS,2003-02-04,Southern Alps,3000
-5.2803593,0.21021155,0,Zermatt,VS,2003-02-04,Southern Alps,3000
-6.1569133,1.0093987,4,Davos,GR,2003-02-07,Eastern Alps,3000
-5.832595,1.400116,1,St. Moritz,GR,2003-02-08,Eastern Alps,3000
-4.847077,1.7844181,0,Simplon,VS,2003-02-08,Southern Alps,3000
-5.9714985,2.063041,1,Hospental,UR,2003-02-09,Central Alps,2000
-5.8850465,1.5287079,1,Klosters-Serneus,GR,2003-02-09,Eastern Alps,3000
